40 epoch, LR 0.000014, LOSS 7.588942, mAP 0.33%, bestmAP 0.33%
41 epoch, LR 0.000013, LOSS 4.266185, mAP 0.32%, bestmAP 0.33%
42 epoch, LR 0.000012, LOSS 5.527280, mAP 0.31%, bestmAP 0.33%
43 epoch, LR 0.000012, LOSS 2.126950, mAP 0.32%, bestmAP 0.33%
44 epoch, LR 0.000011, LOSS 5.515479, mAP 0.32%, bestmAP 0.33%
45 epoch, LR 0.000010, LOSS 5.179025, mAP 0.31%, bestmAP 0.33%
46 epoch, LR 0.000010, LOSS 2.098298, mAP 0.33%, bestmAP 0.33%
47 epoch, LR 0.000009, LOSS 5.451562, mAP 0.33%, bestmAP 0.33%
48 epoch, LR 0.000009, LOSS 6.827150, mAP 0.33%, bestmAP 0.33%
49 epoch, LR 0.000009, LOSS 8.813283, mAP 0.33%, bestmAP 0.33%
50 epoch, LR 0.000008, LOSS 1.988921, mAP 0.33%, bestmAP 0.33%
51 epoch, LR 0.000008, LOSS 4.831594, mAP 0.33%, bestmAP 0.33%
52 epoch, LR 0.000007, LOSS 8.142702, mAP 0.33%, bestmAP 0.33%
53 epoch, LR 0.000007, LOSS 3.542471, mAP 0.32%, bestmAP 0.33%
54 epoch, LR 0.000007, LOSS 4.755910, mAP 0.33%, bestmAP 0.33%
55 epoch, LR 0.000006, LOSS 1.618507, mAP 0.31%, bestmAP 0.33%
56 epoch, LR 0.000006, LOSS 6.299441, mAP 0.35%, bestmAP 0.35%
57 epoch, LR 0.000006, LOSS 7.980550, mAP 0.31%, bestmAP 0.35%
58 epoch, LR 0.000005, LOSS 8.827406, mAP 0.32%, bestmAP 0.35%
59 epoch, LR 0.000005, LOSS 5.636987, mAP 0.34%, bestmAP 0.35%
60 epoch, LR 0.000005, LOSS 4.299808, mAP 0.32%, bestmAP 0.35%
61 epoch, LR 0.000005, LOSS 6.561469, mAP 0.32%, bestmAP 0.35%
62 epoch, LR 0.000004, LOSS 6.864489, mAP 0.34%, bestmAP 0.35%
63 epoch, LR 0.000004, LOSS 1.277622, mAP 0.35%, bestmAP 0.35%
64 epoch, LR 0.000004, LOSS 8.888826, mAP 0.35%, bestmAP 0.35%
65 epoch, LR 0.000004, LOSS 1.317769, mAP 0.34%, bestmAP 0.35%
66 epoch, LR 0.000004, LOSS 1.354842, mAP 0.33%, bestmAP 0.35%
67 epoch, LR 0.000003, LOSS 8.301657, mAP 0.34%, bestmAP 0.35%
68 epoch, LR 0.000003, LOSS 2.631197, mAP 0.35%, bestmAP 0.35%
69 epoch, LR 0.000003, LOSS 1.289165, mAP 0.31%, bestmAP 0.35%
70 epoch, LR 0.000003, LOSS 6.084760, mAP 0.32%, bestmAP 0.35%
71 epoch, LR 0.000003, LOSS 6.465276, mAP 0.32%, bestmAP 0.35%
72 epoch, LR 0.000003, LOSS 3.603249, mAP 0.32%, bestmAP 0.35%
73 epoch, LR 0.000002, LOSS 4.085610, mAP 0.34%, bestmAP 0.35%
74 epoch, LR 0.000002, LOSS 7.613250, mAP 0.33%, bestmAP 0.35%
75 epoch, LR 0.000002, LOSS 1.987939, mAP 0.34%, bestmAP 0.35%
